userid,x,y
1234694,300,1
1234695,-45,166
1234685,-105,-194
1234696,0,1
1234698,-165,166
1234700,195,106
1234701,-15,1
1234691,195,196
1234703,-120,196
1234705,-225,136
1234704,0,-299
1234706,-90,-14
1234708,-45,31
1234697,-15,1
1234709,-30,121
1234710,-100,121
1234712,-15,1
1234699,45,1
1234711,-180,226
1234702,-15,31
1234714,-165,52
1234707,0,-186
1234716,-60,121
1234715,-169,31
1234718,-120,121
1234720,120,-119
1234722,-255,1
1234713,45,-59
1234724,285,35
1234723,270,76
1234721,120,-119
1234725,-150,1
1234726,-45,-14
1234728,-15,1
1234717,-180,181
1234729,300,301
1234719,-15,20
1234731,-45,-14
1234732,-60,46
1234730,45,-59
1234733,16,106
1234727,-60,16
1234735,120,-104
1234737,-120,1
1234738,0,181
1234740,-180,106
1234734,-120,226
1234742,30,256
1234743,-75,31
1234744,50,-14
1234736,225,46
1234745,-105,211
1234747,-120,196
1234741,-180,136
1234739,-120,151
1234749,-165,256
1234748,-15,286
1234746,-180,106
1234751,-225,211
1234752,-105,181
1234755,15,241
1234756,-90,181
1234758,75,256
1234759,-210,166
1234753,-134,235
1234760,-270,-59
1234757,165,-74
1234761,-195,-29
1234750,-120,196
1234754,135,106
1234762,-45,-44
1234763,105,151
1234765,-15,106
1234766,45,211
1234767,-105,136
1234771,-60,166
1234770,165,241
1234764,-105,151
1234772,30,181
1234774,-60,31
1234773,-195,151
1234775,90,196
1234776,-165,166
1234769,-150,136
1234778,-135,136
1234779,-45,211
1234781,-60,196
1234782,-75,211
1234780,-135,181
1234784,-105,166
1234777,-45,136
1234768,-75,196
1234786,-90,121
1234785,-15,196
1234787,-150,136
1234789,-210,151
1234788,-45,196
1234783,0,181
1234792,-105,151
1234793,-60,-104
1234795,180,151
1234794,-60,181
1234790,60,166
1234798,180,271
1234799,-135,61
1234800,135,-14
1234801,-75,1
1234803,-120,91
1234805,135,-59
1234804,-75,189
1234806,-15,-134
1234796,-30,1
1234807,-135,121
1234808,105,-134
1234797,21,-17
1234810,-135,166
1234791,165,-44
1234809,-165,166
1234802,-75,196
1234812,-15,46
1234813,-255,-134
1234815,-75,-14
1234817,-150,91
1234811,-180,31
1234814,-60,85
1234819,-90,136
1234822,30,16
1234820,15,61
1234821,-45,61
1234826,-60,-89
1234825,-60,1
1234824,-120,106
1234823,-195,106
1234828,-45,-119
1234829,-75,46
1234827,-30,151
1234830,-120,-14
1234833,-165,196
1234816,-60,-29
1234834,-180,76
1234831,-210,31
1234836,-135,-59
1234835,-15,76
1234837,-60,166
1234818,-90,-44
1234839,-45,61
1234832,-240,271
1234841,-120,1
1234843,-75,68
1234842,0,1
1234840,-180,76
1234845,-180,136
1234847,-135,-29
1234848,0,1
1234849,-240,61
1234851,-90,-98
1234838,-15,1
1234853,-90,121
1234852,0,16
1234854,-15,1
1234855,-34,133
1234850,-90,76
1234857,-75,-59
1234844,-15,-29
1234858,-75,241
1234846,0,31
1234860,-67,31
1234859,-117,16
1234862,-255,226
1234856,60,1
1234864,-165,211
1234861,-270,181
1234866,-75,121
1234868,-255,166
1234867,-45,76
1234870,15,181
1234872,-45,101
1234873,-150,211
1234863,-120,31
1234874,0,211
1234875,0,16
1234876,180,76
1234869,0,181
1234877,270,241
1234865,165,196
1234880,-60,-29
1234871,-105,91
1234879,30,211
1234881,-60,61
1234883,0,1
1234885,0,16
1234887,-15,241
1234888,15,181
1234884,249,76
1234890,75,271
1234882,0,1
1234889,45,271
1234891,90,46
1234886,75,166
1234892,-45,151
1234894,195,226
1234878,120,211
1234896,0,31
1234893,-45,121
1234897,-105,-74
1234899,-195,16
1234900,165,61
1234895,30,196
1234902,-195,196
1234898,0,76
1234904,-30,226
1234905,30,-44
1234903,-15,136
1234906,165,196
1234908,-15,211
1234910,-15,181
1234911,-105,271
1234909,-120,76
1234913,-75,256
1234907,135,241
1234915,-135,241
1234914,165,91
1234901,-195,181
1234912,15,106
1234916,-75,-41
1234918,-30,196
1234920,-120,226
1234917,300,91
1234921,30,166
1234919,-120,226
1234925,-225,106
1234924,-60,136
1234926,-75,91
1234928,75,136
1234930,-120,241
1234927,210,181
1234931,-25,114
1234932,-90,121
1234933,-105,181
1234922,-165,196
1234934,135,211
1234923,270,91
1234929,-135,136
1234936,-30,256
1234937,-150,61
1234938,90,121
1234935,-150,136
1234940,-30,166
1234943,285,166
1234944,-45,211
1234945,255,256
1234947,75,-44
1234949,-15,181
1234948,-30,-164
1234950,-75,166
1234946,-15,166
1234951,-105,136
1234953,-255,1
1234952,150,226
1234941,-75,106
1234942,300,16
1234954,-150,226
1234939,240,91
1234957,15,286
1234956,-150,196
1234958,-105,151
1234961,285,181
1234955,-120,166
1234963,-270,76
1234965,-75,166
1234964,165,-14
1234966,-30,196
1234969,0,-134
1234968,-180,85
1234959,-45,181
1234970,-60,106
1234971,-45,166
1234960,-30,181
1234972,120,151
1234967,-105,196
1234962,-165,166
1234973,-60,211
1234975,120,271
1234976,-60,151
1234978,90,-134
1234982,90,181
1234981,-90,16
1234983,-150,226
1234984,45,1
1234985,-90,136
1234979,-165,211
1234986,30,16
1234974,-150,106
1234987,-60,196
1234980,270,196
1234989,-90,211
1234988,240,166
1234977,-84,235
1234991,90,76
1234993,-120,76
1234995,0,211
1234990,-67,168
1234996,-90,181
1234998,0,1
1234999,-150,166
1235000,300,151
1235003,30,196
1235002,-150,196
1235004,-120,121
1234994,-150,121
1234992,-210,196
1235006,-90,121
1235005,-240,136
1235007,-60,211
1235008,165,-194
1235001,-45,76
1235011,-105,151
1234997,-86,301
1235012,105,181
1235014,285,-29
1235013,-30,-44
1235009,-60,-119
1235010,-165,226
1235016,-165,106
1235018,210,31
1235019,240,121
1235020,0,-119
1235023,180,-89
1235024,90,1
1235015,-132,61
1235025,-60,76
1235026,-165,76
1235027,-45,-29
1235028,-45,196
1235022,0,-14
1235017,165,226
1235031,15,-104
1235030,-210,121
1235032,285,-44
1235033,15,166
1235029,-45,76
1235036,-90,46
1235038,195,1
1235037,45,166
1235039,-150,211
1235034,-165,106
1235021,300,106
1235041,-210,196
1235042,195,241
1235043,300,166
1235035,-180,136
1235044,-60,1
1235040,-150,181
1235047,75,106
1235048,-105,151
1235049,-135,-44
1235051,15,31
1235053,-60,-14
1235054,-195,151
1235055,75,91
1235050,-75,46
1235045,45,211
1235056,-15,241
1235052,-45,181
1235058,-14,121
1235057,60,166
1235059,-105,121
1235046,-90,91
1235062,-15,91
1235064,-135,136
1235066,-90,61
1235065,-75,256
1235060,120,256
1235068,-210,211
1235069,-105,226
1235063,45,-164
1235070,-45,-104
1235071,150,1
1235061,15,136
1235073,-225,166
1235074,90,-224
1235076,15,-74
1235077,0,241
1235072,-195,196
1235079,0,196
1235067,-210,121
1235075,-134,46
1235080,135,-209
1235081,165,46
1235082,-90,16
1235078,-60,136
1235084,-188,-74
1235087,-165,151
1235088,-240,76
1235085,-60,241
1235089,-210,151
1235086,-210,181
1235091,120,-119
1235092,0,-74
1235093,-45,-74
1235095,75,241
1235083,-105,151
1235094,-75,166
1235098,0,91
1235097,-195,202
1235090,285,61
1235099,-60,136
1235100,135,-14
1235096,-150,151
1235103,-150,241
1235104,-90,-104
1235107,30,166
1235106,-60,46
1235102,150,136
1235109,60,121
1235101,-167,76
1235110,0,46
1235105,-234,85
1235111,60,166
1235112,60,-74
1235114,120,-14
1235108,105,106
1235116,60,76
1235118,-150,-65
1235119,-255,121
1235120,-120,61
1235117,-105,76
1235115,-105,-59
1235123,105,91
1235113,-30,-74
1235122,60,-89
1235124,-45,-89
1235125,-240,211
1235121,60,-29
1235128,-165,106
1235130,-165,1
1235131,-15,151
1235126,-165,31
1235132,0,106
1235127,-105,135
1235134,255,106
1235135,-105,196
1235136,75,-89
1235138,-75,136
1235140,240,241
1235133,105,76
1235141,-120,61
1235129,-84,-132
1235142,270,46
1235144,-240,211
1235139,-255,76
1235143,-105,106
1235148,300,166
1235137,-135,1
1235145,30,-149
1235146,210,211
1235155,-165,121
1235152,180,256
1235149,180,-74
1235151,210,16
1235150,-150,196
1235147,-45,31
1235156,120,76
1235157,-60,196
1235154,-150,46
1235162,165,-194
1235158,15,-59
1235163,-150,61
1235153,195,136
1235165,-120,226
1235167,-19,-14
1235160,30,76
1235169,-165,211
1235170,-75,31
1235161,-120,-164
1235172,-15,16
1235166,-90,16
1235173,-285,16
1235175,-150,16
1235164,-210,106
1235177,-120,-14
1235159,-240,211
1235171,165,271
1235178,120,181
1235180,-255,226
1235183,30,226
1235176,-225,136
1235168,-105,286
1235184,-165,106
1235185,-150,136
1235174,-60,61
1235188,-30,211
1235189,90,-59
1235191,135,106
1235192,-120,-119
1235182,-195,-29
1235186,-150,106
1235193,-210,151
1235179,-30,181
1235194,-34,-104
1235187,195,1
1235190,60,-209
1235197,120,-119
1235199,-165,121
1235203,135,-44
1235202,75,136
1235181,120,106
1235196,30,61
1235204,-105,121
1235201,-165,226
1235205,255,211
1235200,-135,151
1235198,-60,-14
1235195,-210,76
1235208,15,91
1235210,75,181
1235206,-169,216
1235207,-135,136
1235214,-150,196
1235215,-75,61
1235209,0,151
1235218,-217,76
1235216,225,-59
1235211,-195,76
1235219,-210,181
1235212,45,-44
1235221,-120,-104
1235222,150,16
1235224,60,1
1235213,45,16
1235226,-225,121
1235217,-120,166
1235220,135,121
1235228,-180,151
1235227,30,-44
1235225,-225,196
1235230,-210,136
1235223,0,16
1235233,-90,76
1235229,30,151
1235232,0,166
1235236,-15,91
1235234,-135,136
1235238,30,151
1235237,-150,196
1235240,-210,76
1235231,210,211
1235241,-90,46
1235243,-165,76
1235239,60,166
1235242,30,166
1235235,-225,121
1235245,-75,121
1235244,-150,181
1235247,-90,46
1235248,75,-29
1235254,-120,211
1235249,-45,16
1235255,-135,91
1235246,180,-14
1235250,135,256
1235256,-45,-14
1235252,-45,-179
1235258,-180,196
1235261,225,-44
1235253,90,91
1235263,133,-132
1235264,-75,61
1235266,-180,211
1235251,120,1
1235267,90,-89
1235259,-15,31
1235262,-240,76
1235260,-90,106
1235268,-30,91
1235270,-210,106
1235257,-195,136
1235265,-30,1
1235274,120,-209
1235275,-120,196
1235278,83,-32
1235279,-135,16
1235272,-120,31
1235273,-105,-74
1235280,50,1
1235281,0,-164
1235271,-195,166
1235284,-165,-29
1235285,-210,211
1235277,-195,211
1235276,-210,166
1235287,105,-104
1235288,-210,151
1235283,-255,166
1235291,-15,76
1235292,0,-74
1235294,-15,-14
1235282,120,181
1235295,210,31
1235269,105,-74
1235289,-30,91
1235286,225,-59
1235296,-105,-14
1235290,-15,1
1235298,-51,181
1235293,15,-74
1235302,-45,-14
1235304,-60,61
1235297,150,1
1235306,-15,1
1235300,-105,-134
1235307,-255,61
1235301,-225,181
1235309,-105,106
1235303,-90,226
1235311,-30,241
1235313,0,106
1235305,-30,-74
1235310,90,226
1235308,-150,61
1235315,90,136
1235316,-180,46
1235299,-90,136
1235320,-60,-89
1235321,75,196
1235314,-30,76
1235312,-300,-89
1235323,30,-14
1235324,180,-44
1235317,-30,181
1235319,-180,151
1235328,-30,-104
1235327,-120,61
1235318,15,-14
1235331,180,151
1235332,135,151
1235322,-180,181
1235325,-300,181
1235334,-195,181
1235335,-210,121
1235330,-180,151
1235326,-195,241
1235329,-60,16
1235339,-34,16
1235338,60,1
1235343,-15,-104
1235336,-195,136
1235337,15,196
1235333,-165,91
1235344,-90,-59
1235345,-45,121
1235340,-210,-299
1235349,-195,46
1235350,300,-299
1235347,75,121
1235352,-15,-209
1235353,-150,181
1235355,-75,35
1235348,-234,202
1235356,-195,91
1235351,-135,-59
1235346,-150,16
1235342,-225,166
1235357,15,91
1235359,-150,46
1235354,-135,151
1235363,-135,181
1235341,120,91
1235364,-60,-89
1235366,0,16
1235360,-225,151
1235368,-45,121
1235369,-15,61
1235358,-180,121
1235365,-75,61
1235371,-180,196
1235372,-195,181
1235362,-90,91
1235375,-135,136
1235370,-165,181
1235376,105,91
1235378,60,136
1235374,-90,181
1235380,90,-74
1235361,165,151
1235381,-75,16
1235373,0,46
1235383,-105,31
1235379,165,121
1235385,-225,61
1235377,-210,237
1235387,-180,196
1235382,225,-29
1235389,-15,46
1235391,-105,181
1235367,225,1
1235388,30,31
1235386,-240,121
1235393,-210,61
1235394,-105,136
1235384,-105,1
1235390,-15,136
1235398,135,31
1235399,-210,16
1235396,15,76
1235392,-180,-44
1235402,-75,136
1235403,15,-104
1235397,75,61
1235406,-90,-104
1235407,105,-119
1235409,-180,136
1235410,-15,-89
1235395,-105,106
1235404,-90,211
1235405,-90,196
1235411,-75,61
1235412,-270,106
1235401,-135,46
1235408,-120,91
1235416,-135,61
1235400,-90,76
1235417,-90,151
1235420,-210,136
1235414,90,-44
1235413,-165,91
1235422,-67,121
1235423,165,-44
1235418,45,196
1235426,0,211
1235427,-45,106
1235415,-135,46
1235419,-225,166
1235425,-135,251
1235429,-120,121
1235430,-30,-239
1235428,180,166
1235424,-105,151
1235421,-90,91
1235434,120,76
1235435,-135,68
1235433,-90,106
1235439,60,91
1235436,120,256
1235440,-165,46
1235432,-300,16
1235442,-90,76
1235444,-30,31
1235441,15,136
1235437,-75,166
1235431,-45,46
1235446,-90,166
1235443,-195,91
1235447,-150,166
1235438,-255,181
1235451,-180,-119
1235448,-225,181
1235445,-270,196
1235449,-150,-74
1235455,-75,196
1235453,300,61
1235452,0,1
1235450,0,1
1235459,-195,136
1235460,-240,151
1235458,105,166
1235463,-180,31
1235454,-150,76
1235464,-180,166
1235457,-120,46
1235466,-75,31
1235461,-180,91
1235468,-195,211
1235465,300,151
1235456,15,181
1235470,-165,166
1235462,-165,61
1235472,0,46
1235467,-195,151
1235475,90,166
1235477,-90,-14
1235479,-150,1
1235469,-135,136
1235480,-117,151
1235471,-135,91
1235481,-165,151
1235476,-180,196
1235483,-150,76
1235485,-267,121
1235478,-150,136
1235473,-180,-41
1235487,120,271
1235488,-225,91
1235474,-165,196
1235482,-15,61
1235492,-90,-104
1235491,-75,46
1235484,90,-104
1235486,255,256
1235489,-195,226
1235495,-201,76
1235496,-180,31
1235493,-15,-179
1235500,120,-104
1235494,-210,61
1235501,-15,31
1235499,-240,1
1235490,285,121
1235497,-165,106
1235503,90,-74
1235498,-15,61
1235505,-240,61
1235502,150,16
1235509,-135,106
1235506,-180,16
1235511,15,46
1235508,-15,16
1235513,135,151
1235515,240,-74
1235504,-135,-14
1235514,-150,106
1235510,0,121
1235517,-165,151
1235518,-60,211
1235507,-210,181
1235512,-45,136
1235520,-105,-44
1235522,-210,151
1235523,30,-14
1235516,-225,151
1235519,-150,136
1235527,-195,211
1235521,-60,211
1235528,-45,168
1235526,-75,226
1235531,-150,35
1235524,150,-119
1235525,-45,1
1235533,-75,181
1235530,15,106
1235535,0,61
1235538,30,-89
1235534,15,136
1235540,-120,181
1235532,-225,151
1235529,-45,121
1235541,-120,1
1235543,-240,196
1235539,-195,211
1235546,-120,121
1235537,-120,-65
1235547,-240,61
1235542,-135,61
1235548,-285,211
1235536,-180,61
1235549,180,-164
1235551,240,106
1235545,-75,136
1235556,150,-32
1235555,105,241
1235552,-150,-104
1235553,-60,211
1235554,-210,106
1235558,-75,-44
1235550,-240,166
1235544,45,241
1235557,0,-224
1235563,-240,121
1235560,-90,106
1235562,-195,226
1235567,-180,16
1235561,0,52
1235559,-90,61
1235569,-90,31
1235570,45,271
1235566,-210,271
1235573,-90,166
1235574,-75,76
1235568,-15,-119
1235571,15,151
1235564,-150,-44
1235577,-135,135
1235575,-30,91
1235572,0,151
1235581,-150,136
1235565,-135,121
1235579,-75,106
1235578,-225,256
1235576,-45,91
1235584,-165,226
1235582,-60,241
1235580,75,1
1235589,-150,-44
1235587,90,-29
1235583,-195,76
1235586,-120,106
1235592,-135,181
1235585,-45,-14
1235593,0,-44
1235590,-120,-14
1235591,-30,106
1235596,90,241
1235588,30,196
1235598,-165,76
1235597,-135,271
1235601,-105,-89
1235603,105,18
1235604,165,-44
1235605,-75,16
1235599,-113,166
1235595,-60,-74
1235606,-165,-14
1235594,-105,31
1235602,30,-89
1235600,-270,76
1235608,-300,241
1235607,-45,31
1235615,-225,-59
1235609,-240,211
1235617,-165,85
1235616,15,106
1235610,-150,166
1235619,-120,31
1235611,-75,136
1235618,-150,106
1235613,15,226
1235614,-60,166
1235622,-210,181
1235612,-180,166
1235620,-210,181
1235627,150,226
1235623,-120,1
1235624,-15,91
1235621,-60,76
1235625,-90,-14
1235630,-165,121
1235635,150,-149
1235631,165,76
1235629,-270,151
1235632,-60,106
1235626,-165,91
1235636,15,271
1235628,-150,106
1235633,0,-14
1235634,-255,226
1235641,165,-224
1235637,-135,166
1235639,0,151
1235645,-195,1
1235638,300,-104
1235648,-105,286
1235643,60,-239
1235650,-225,166
1235642,45,-14
1235646,-225,76
1235640,-135,-14
1235647,285,-224
1235644,-60,46
1235652,-150,196
1235651,-120,181
1235649,240,-59
1235658,-210,76
1235654,-225,211
1235661,-38,1
1235653,-240,121
1235657,-180,31
1235656,-210,121
1235659,-165,241
1235663,-67,76
1235655,45,-119
1235660,-135,196
1235668,-90,61
1235662,-180,-55
1235665,-60,1
1235671,30,16
1235667,285,271
1235674,-135,196
1235666,-105,166
1235676,-105,181
1235669,-135,151
1235664,-90,31
1235678,-195,166
1235670,-180,-134
1235675,120,-299
1235681,-150,76
1235684,-120,166
1235673,-105,151
1235677,-120,31
1235680,-105,136
1235685,-105,106
1235679,-150,181
1235672,-90,-15
1235683,-45,1
1235689,-150,-224
1235682,-15,1
1235688,-180,-59
1235693,-135,106
1235686,-180,181
1235696,-217,46
1235692,-90,151
1235687,-105,-14
1235698,-165,16
1235691,-105,121
1235695,-90,121
1235701,-225,211
1235690,-150,76
1235694,-180,196
1235704,-60,196
1235697,-17,133
1235703,-165,166
1235707,-150,91
1235699,-90,76
1235710,-105,-29
1235705,60,135
1235702,-150,121
1235709,-45,151
1235712,195,31
1235706,-210,91
1235716,-255,136
1235713,-255,31
1235700,-45,211
1235715,-135,91
1235718,-75,46
1235711,-135,46
1235719,-240,16
1235717,-135,76
1235722,-195,46
1235721,-135,121
1235724,-240,1
1235726,-255,181
1235714,-180,151
1235708,-165,91
1235729,-240,136
1235732,-210,211
1235727,-75,241
1235723,75,-119
1235728,-45,91
1235733,30,46
1235737,105,-59
1235734,-135,166
1235738,90,226
1235720,-255,31
1235725,-105,31
1235730,-150,181
1235740,-255,211
1235735,-150,106
1235744,-240,106
1235731,120,61
1235746,-210,-74
1235739,60,-29
1235748,-135,168
1235741,-105,76
1235750,-15,-44
1235743,-180,166
1235736,-30,46
1235752,-225,136
1235745,-165,91
1235755,105,-149
1235742,-30,-134
1235751,15,181
1235747,-135,226
1235757,-180,202
1235749,-75,121
1235753,-90,196
1235761,-75,-164
1235754,-165,121
1235759,-105,91
1235764,0,-149
1235756,0,166
1235767,-225,226
1235763,135,151
1235760,-75,106
1235766,0,-74
1235765,-270,106
1235769,-150,-59
1235762,-45,-44
1235768,45,181
1235774,-195,196
1235758,-75,61
1235777,-45,16
1235773,-210,1
1235771,-105,1
1235776,-165,46
1235779,-165,196
1235772,-195,166
1235770,-180,16
1235775,-180,136
1235783,-180,-14
1235782,-135,196
1235787,-180,-14
1235778,0,31
1235789,-45,121
1235788,120,-209
1235781,-180,106
1235791,-75,151
1235780,-225,121
1235792,-15,-44
1235794,240,136
1235796,-180,181
1235785,15,-14
1235797,-15,91
1235784,-105,-74
1235786,-135,166
1235798,-45,-44
1235795,-120,136
1235790,-150,76
1235793,-100,211
1235800,-240,61
1235803,-135,241
1235801,30,211
1235799,-255,196
1235808,-60,256
1235807,-60,-29
1235811,-15,-179
1235804,-270,46
1235812,-120,151
1235805,135,-164
1235806,-15,-74
1235809,-105,46
1235813,60,256
1235815,-225,76
1235810,-45,46
1235819,-150,-59
1235820,-165,76
1235802,-105,166
1235822,-45,121
1235814,-105,166
1235823,-135,196
1235818,60,-149
1235817,-15,226
1235816,-30,-239
1235825,165,211
1235821,-75,121
1235827,-90,211
1235831,-150,46
1235826,-30,-89
1235828,0,61
1235833,-30,-89
1235834,-60,121
1235829,180,-194
1235824,-105,181
1235832,-45,166
1235837,-30,16
1235838,-225,106
1235836,-240,226
1235842,-180,181
1235843,-135,76
1235835,-150,181
1235845,120,-14
1235841,-45,151
1235846,-225,106
1235830,165,196
1235839,-150,121
1235848,-90,-134
1235850,-210,181
1235844,-60,106
1235853,-60,91
1235840,-75,46
1235854,-105,91
1235856,-34,58
1235849,-105,31
1235858,-255,241
1235859,-105,211
1235852,0,46
1235861,-60,196
1235851,-60,-179
1235862,-45,1
1235847,-225,1
1235864,15,181
1235866,-225,106
1235860,-225,241
1235857,45,1
1235863,-75,101
1235868,75,-74
1235869,0,-74
1235865,-270,46
1235855,-134,76
1235873,-105,76
1235874,-135,136
1235872,-135,61
1235870,-165,101
1235877,30,-134
1235867,-60,211
1235871,-195,61
1235878,-210,226
1235881,-30,166
1235879,-285,136
1235884,210,31
1235880,75,-119
1235876,-105,196
1235886,-30,151
1235875,120,16
1235887,-105,16
1235885,-75,211
1235882,-15,211
1235890,-165,136
1235888,-75,61
1235883,-225,106
1235895,90,46
1235891,105,136
1235892,-105,136
1235898,240,31
1235899,-165,76
1235894,30,136
1235900,-75,46
1235901,150,181
1235896,-150,-14
1235902,-105,196
1235889,-180,196
1235897,183,106
1235904,-75,91
1235905,-135,-194
1235907,-60,166
1235893,-90,121
1235911,-15,136
1235910,-255,151
1235912,-150,226
1235906,30,16
1235914,120,106
1235903,270,46
1235913,-165,166
1235916,-60,-14
1235918,-150,166
1235909,300,61
1235915,-105,-149
1235908,270,16
1235922,-150,76
1235921,-45,46
1235920,-195,151
1235926,-165,46
1235919,-180,-59
1235927,-195,136
1235929,-225,106
1235928,-240,91
1235924,-285,211
1235917,-105,151
1235923,-15,181
1235931,195,-29
1235932,-180,196
1235933,-165,136
1235937,0,1
1235938,-60,61
1235930,-135,76
1235939,-180,121
1235940,-285,166
1235941,-150,181
1235934,150,-104
1235943,45,166
1235936,-195,211
1235925,180,196
1235945,-180,211
1235944,-30,46
1235935,30,-29
1235947,-150,136
1235950,135,-44
1235951,-210,106
1235942,-105,226
1235953,30,166
1235954,-120,1
1235955,-120,136
1235948,-180,181
1235957,0,-89
1235959,-30,136
1235958,120,-14
1235961,-165,196
1235962,-285,76
1235963,15,-59
1235964,-105,106
1235956,-195,61
1235946,-60,31
1235965,105,31
1235952,-60,181
1235966,0,1
1235960,-90,166
1235949,45,-59
1235967,150,91
1235970,255,76
1235972,-90,-119
1235968,75,181
1235975,90,-224
1235976,-120,-179
1235973,-60,181
1235977,-105,151
1235980,-105,151
1235979,-195,196
1235971,90,121
1235969,-60,106
1235982,-150,181
1235983,-180,181
1235974,-150,121
1235984,-90,166
1235978,300,61
1235987,60,-104
1235988,-240,181
1235981,-195,136
1235990,-60,121
1235986,-120,121
1235992,60,16
1235993,-195,196
1235995,-195,136
1235989,-45,166
1235998,90,151
1235985,-240,166
1235997,30,-74
1235999,-60,121
1235991,-270,196
1236001,-195,1
1235996,195,-209
1235994,-150,136
1236003,-195,136
1236004,-201,181
1236006,-150,166
1236000,-30,-14
1236009,-210,241
1236011,60,211
1236010,165,181
1236005,-75,-29
1236002,-120,-59
1236013,-30,226
1236014,-30,-89
1236015,-51,-59
1236012,-165,-29
1236018,-30,-29
1236019,-135,196
1236007,-180,151
1236020,285,211
1236022,-165,46
1236016,-180,121
1236023,0,61
1236017,-45,256
1236021,-195,181
1236025,270,-104
1236026,45,106
1236028,-255,226
1236008,210,-29
1236031,-210,181
1236027,-105,61
1236032,15,76
1236033,-90,61
1236030,-225,181
1236029,-165,211
1236035,-75,121
1236038,-180,-104
1236037,-90,136
1236024,135,91
1236036,30,16
1236042,-90,-74
1236041,240,31
1236043,-120,91
1236034,-195,16
1236046,-120,61
1236039,-195,196
1236048,285,-59
1236047,30,16
1236050,300,-44
1236045,-180,91
1236040,-201,136
1236052,-150,106
1236054,-167,1
1236053,90,-194
1236049,30,31
1236057,-60,181
1236058,30,181
1236059,195,-254
1236061,-45,106
1236055,-75,1
1236044,-255,136
1236062,15,226
1236063,-167,46
1236051,-75,121
1236064,-45,196
1236056,-45,181
1236060,-105,211
1236067,-225,181
1236068,-150,136
1236070,-135,226
1236065,-165,166
1236073,-90,211
1236074,-240,196
1236075,-150,151
1236077,-120,76
1236078,225,166
1236069,-14,121
1236079,-225,136
1236066,-120,121
1236080,195,76
1236081,-285,136
1236072,-90,31
1236071,-135,136
1236083,-15,-119
1236076,-195,241
1236085,-135,121
1236086,30,181
1236082,-165,91
1236089,-180,121
1236091,-60,-29
1236092,-45,-149
1236084,-165,151
1236087,-45,-89
1236095,-120,61
1236094,-180,166
1236096,0,1
1236093,-45,121
1236090,-255,91
1236099,45,136
1236100,-180,106
1236101,75,226
1236098,-45,181
1236104,-90,106
1236088,-225,211
1236105,30,136
1236106,75,-59
1236108,195,-59
1236097,-167,151
1236102,-195,91
1236110,75,226
1236111,-90,196
1236112,-165,151
1236103,-135,196
1236116,-135,181
1236115,-17,46
1236107,240,16
1236117,-15,106
1236119,-135,91
1236120,135,-29
1236123,90,196
1236109,90,18
1236122,-150,136
1236118,30,196
1236124,-45,121
1236125,-45,226
1236113,45,-119
1236121,-225,91
1236127,-90,31
1236129,-255,46
1236130,90,166
1236114,270,136
1236128,-165,61
1236133,-45,46
1236134,-240,121
1236135,-75,-44
1236126,-105,211
1236131,60,-59
1236138,-34,31
1236139,-225,106
1236132,-75,181
