id,sex,teeth,months
fibh,female,81 71,9
fl4o,female,81 71,5.6
flu1,female,81 71,4.5
fmnx,female,81 71,2.7
fnv0,female,81 71,6.8
fold,female,81 71,8.3
fpbz,female,81 71,7.3
fr18,female,81 71,7.1
ft06,female,81 71,2.6
fvbe,female,81 71,4.6
fwio,female,81 71,5
fyds,female,81 71,4.6
fzot,female,81 71,4.5
g0wu,female,81 71,6.7
g1v3,female,81 71,7.1
g3ee,female,81 71,6.4
g4mo,female,81 71,7.1
g54o,female,81 71,5.7
g65m,female,81 71,8.5
g84n,female,81 71,7.9
g90q,female,81 71,7.9
gaf5,female,81 71,6.3
gbas,female,81 71,5.9
gc7a,female,81 71,5.7
gdrb,female,81 71,6.2
gi5g,female,81 71,8
gjwr,female,81 71,5.6
gnfi,female,81 71,7.9
gqv5,female,81 71,10.1
gss3,female,81 71,6.6
gt2j,female,81 71,8.2
gv8h,female,81 71,10
gva4,female,81 71,6.3
gx53,female,81 71,3.9
gxy4,female,81 71,9.2
gymf,female,81 71,11.9
gzzp,female,81 71,3.5
h2sq,female,81 71,4.8
h54i,female,81 71,9.5
h60i,female,81 71,8.4
h66i,female,81 71,6.1
h72t,female,81 71,10.4
haae,female,81 71,4.4
hba9,female,81 71,6.4
hcwy,female,81 71,7.8
hdxl,female,81 71,5.4
hg18,female,81 71,5.1
hg7j,female,81 71,4.1
hi1m,female,81 71,8.5
hjx1,female,81 71,7.3
hkhx,female,81 71,11.2
hl15,female,81 71,10.6
homr,female,81 71,5.7
hq5j,female,81 71,6.2
hw3z,female,81 71,8.9
i15c,female,81 71,6.1
i2yy,female,81 71,5
i4wh,female,81 71,5.7
i5s9,female,81 71,8.9
if19,female,81 71,5.4
ih9x,female,81 71,9.8
ijnv,female,81 71,8.9
ikcz,female,81 71,5.9
isrq,female,81 71,7
itne,female,81 71,9.6
ivks,female,81 71,5.7
iwlg,female,81 71,9.2
ixc4,female,81 71,8.8
iyct,female,81 71,5.5
j0dg,female,81 71,6.4
j0o8,female,81 71,6.6
j1b8,female,81 71,9.6
j2b1,female,81 71,8.5
j4e9,female,81 71,8.8
j5mr,female,81 71,7.4
j9lj,female,81 71,6.3
ja17,female,81 71,7.9
jbg1,female,81 71,6.6
jcr3,female,81 71,6.9
jezf,female,81 71,7.9
jfa6,female,81 71,6.1
jgpk,female,81 71,7.8
jiud,female,81 71,7.6
jjv2,female,81 71,8.1
jltu,female,81 71,5.3
jmyj,female,81 71,8.1
jnqb,female,81 71,5.4
jocv,female,81 71,7.1
jqg8,female,81 71,7.8
jsom,female,81 71,7.4
jtgx,female,81 71,5.1
ju16,female,81 71,8
junl,female,81 71,12
3rp,male,81 71,18
75d,male,81 71,8.2
7qu,male,81 71,6.2
9l1,male,81 71,10.5
c3j,male,81 71,8
eoi,male,81 71,6.8
g0i,male,81 71,7.9
gy4,male,81 71,6.8
h13,male,81 71,10.6
igq,male,81 71,7.5
j5h,male,81 71,5.3
kj0,male,81 71,4.5
kv2,male,81 71,5.3
ltr,male,81 71,8.7
muo,male,81 71,5.8
nms,male,81 71,12.7
ogm,male,81 71,7.9
rre,male,81 71,6.2
rsp,male,81 71,7.5
snb,male,81 71,7.1
vee,male,81 71,6.8
xbu,male,81 71,4.2
z24,male,81 71,10.2
10a9,male,81 71,11
11sa,male,81 71,15.7
125j,male,81 71,9.4
130j,male,81 71,5.7
14jq,male,81 71,7
15gw,male,81 71,4.6
17qy,male,81 71,8.3
18wj,male,81 71,7.5
1br7,male,81 71,11.7
1cl6,male,81 71,7.6
1ctu,male,81 71,7.8
1f8i,male,81 71,14.2
1h7e,male,81 71,4.7
1i82,male,81 71,0.9
1jat,male,81 71,7.7
1l5e,male,81 71,6.3
1mds,male,81 71,12.8
1nti,male,81 71,8.8
1o6r,male,81 71,6.5
1p05,male,81 71,6
1qjv,male,81 71,7
1rl9,male,81 71,5.9
1tha,male,81 71,7.6
1vj8,male,81 71,7.7
1wie,male,81 71,7.2
1ws8,male,81 71,9.4
1yk2,male,81 71,8.2
22fb,male,81 71,6.9
23tg,male,81 71,5.4
2774,male,81 71,8.4
27j9,male,81 71,12.1
28wt,male,81 71,9.3
2c3m,male,81 71,4.2
2cit,male,81 71,12.1
2dh5,male,81 71,4.8
2e2e,male,81 71,8.5
2g2g,male,81 71,10.4
2l2p,male,81 71,7.8
2n94,male,81 71,0.4
2qdv,male,81 71,3.3
2qto,male,81 71,4.8
2s3r,male,81 71,8.8
2svk,male,81 71,12.4
2ti2,male,81 71,4.7
2u5n,male,81 71,6.6
2w9l,male,81 71,9.3
2x8q,male,81 71,10.7
2yry,male,81 71,6.2
2zl5,male,81 71,7.2
30ub,male,81 71,6.9
31s4,male,81 71,10.9
3327,male,81 71,10.9
36zy,male,81 71,10.8
38d3,male,81 71,11.8
38mg,male,81 71,3.5
3cu3,male,81 71,9.2
3eus,male,81 71,6.4
3fz6,male,81 71,9.1
3gky,male,81 71,4.8
3igj,male,81 71,8.1
3jgn,male,81 71,7.1
3lu7,male,81 71,4.8
3nnk,male,81 71,7.9
3pyf,male,81 71,13
3qvq,male,81 71,9.1
3tm9,male,81 71,10.9
3upb,male,81 71,6
3xcw,male,81 71,10.5
3zaa,male,81 71,11.1
408c,male,81 71,6.3
40at,male,81 71,2
41wz,male,81 71,9.8
42ut,male,81 71,7.6
4412,male,81 71,6.8
44ev,male,81 71,19.6
45eh,male,81 71,9.9
469z,male,81 71,7.6
48uy,male,81 71,12.2
4a99,male,81 71,12.5
4c8o,male,81 71,4.4
4fjt,male,81 71,7.2
4gp6,male,81 71,10.9
4hl0,male,81 71,9.3
4idu,male,81 71,3.7
4jbb,male,81 71,12.2
4kau,male,81 71,10.7
4kmy,male,81 71,13.9
4lq0,male,81 71,10.5
4m5q,male,81 71,12.1
4muk,male,81 71,9.3
4rn1,male,81 71,10
4sn7,male,81 71,5.8
4t31,male,81 71,1.4
4uxl,male,81 71,6.1
4x5v,male,81 71,4.9
4xsk,male,81 71,9.9
50cn,male,81 71,7.4
51hi,male,81 71,4.7
52s7,male,81 71,5
52zu,male,81 71,6.9
54qe,male,81 71,12
55in,male,81 71,13.4
57o9,male,81 71,7.3
58dn,male,81 71,8.9
59b2,male,81 71,8.9
5adn,male,81 71,11.6
5aoy,male,81 71,11.3
5c40,male,81 71,5
5crp,male,81 71,4.9
5dfj,male,81 71,6.1
5dso,male,81 71,8
5j8k,male,81 71,6.3
5k2v,male,81 71,4.7
5la9,male,81 71,7.6
5lpj,male,81 71,7.5
5q32,male,81 71,6.6
5r6a,male,81 71,11.3
5rnu,male,81 71,10.5
5swi,male,81 71,14.1
5vsn,male,81 71,3.6
5we1,male,81 71,10.7
5xn4,male,81 71,8.6
5ypy,male,81 71,1.9
61e1,male,81 71,9.5
627y,male,81 71,9.6
63t7,male,81 71,8.1
64qd,male,81 71,8.9
65gz,male,81 71,7.4
66sf,male,81 71,3.1
67qu,male,81 71,4.3
69vk,male,81 71,11.5
6aud,male,81 71,4
6cur,male,81 71,7.5
6dn4,male,81 71,14.4
6eqx,male,81 71,8.2
6h5v,male,81 71,6.1
6m31,male,81 71,6.6
6mu7,male,81 71,5.9
6phu,male,81 71,7.7
6szr,male,81 71,4.6
6tq5,male,81 71,10.1
6w2r,male,81 71,4
6yf0,male,81 71,10
6z53,male,81 71,7.8
6zrl,male,81 71,1.5
7106,male,81 71,15.1
728p,male,81 71,5.9
72xv,male,81 71,5.3
74j9,male,81 71,9.3
756u,male,81 71,6.7
76hs,male,81 71,7.2
787r,male,81 71,7.2
794q,male,81 71,8.3
7a1g,male,81 71,7.1
7d63,male,81 71,6.3
7e60,male,81 71,8.7
7fmv,male,81 71,6.3
7gjp,male,81 71,5.4
7hf8,male,81 71,9.6
7mb4,male,81 71,1.7
7ols,male,81 71,8.2
7qrd,male,81 71,11.3
7rmi,male,81 71,4.8
7skl,male,81 71,10.5
7ubc,male,81 71,11.7
7uwg,male,81 71,1.6
7vtc,male,81 71,8.2
7wo7,male,81 71,10.7
7x9g,male,81 71,4.9
7y7t,male,81 71,12.4
7yxs,male,81 71,9.7
80gp,male,81 71,2.8
814b,male,81 71,5.8
831a,male,81 71,7.4
84ar,male,81 71,5.3
84p6,male,81 71,6.2
8583,male,81 71,2.2
866l,male,81 71,8
88su,male,81 71,6.2
8b99,male,81 71,15
8blw,male,81 71,2
8cqw,male,81 71,6
8ddx,male,81 71,13
8fzv,male,81 71,5.9
8gh1,male,81 71,7.7
8ihx,male,81 71,7.7
8kdh,male,81 71,5.2
8luc,male,81 71,6.3
8mah,male,81 71,5.6
8of5,male,81 71,7.3
8pcu,male,81 71,6.3
8qg4,male,81 71,13.4
8s25,male,81 71,3.7
8spb,male,81 71,10
8tmn,male,81 71,6.3
8u77,male,81 71,3.8
8w2k,male,81 71,5.1
8wfs,male,81 71,9
8xe5,male,81 71,8.8
8zhe,male,81 71,12
904k,male,81 71,10.7
933g,male,81 71,8.4
94g5,male,81 71,6.5
9bgu,male,81 71,2.9
9cc4,male,81 71,5.9
9cif,male,81 71,4.5
9e8w,male,81 71,3.5
9f6b,male,81 71,0.5
9fpc,male,81 71,7.2
9h6r,male,81 71,3.4
9i2z,male,81 71,-0.4
9iy3,male,81 71,7.7
9ju8,male,81 71,5.6
9kuf,male,81 71,5.9
9l2q,male,81 71,8
9lsl,male,81 71,10.7
9n4c,male,81 71,10.5
9pia,male,81 71,9.4
9qlh,male,81 71,4
9s01,male,81 71,11
9spy,male,81 71,6.1
9u4n,male,81 71,6
9uae,male,81 71,5.3
9vsz,male,81 71,9.4
9x6b,male,81 71,7
9yu2,male,81 71,12.5
a0b9,male,81 71,6.8
a576,male,81 71,8.3
a5wl,male,81 71,5.1
a7qo,male,81 71,12
a98h,male,81 71,6.5
aamp,male,81 71,6.4
abb1,male,81 71,9
ac6a,male,81 71,8.1
afl3,male,81 71,4.6
agfd,male,81 71,7.9
agz8,male,81 71,7.6
aiq9,male,81 71,8.3
aix6,male,81 71,10.9
ak8n,male,81 71,9.3
akoe,male,81 71,3.3
albi,male,81 71,3.6
aly2,male,81 71,5.6
ao8d,male,81 71,8.5
aoxi,male,81 71,3.3
ar2u,male,81 71,9.9
attf,male,81 71,12.2
avgh,male,81 71,6.1
aw6u,male,81 71,3
axd0,male,81 71,3.6
aytp,male,81 71,9.3
az47,male,81 71,1.4
b0vv,male,81 71,5.7
b1xe,male,81 71,7
b4t9,male,81 71,5.5
b66p,male,81 71,10.2
b7hb,male,81 71,4.3
bb3m,male,81 71,7.1
bbj2,male,81 71,9.9
bcup,male,81 71,5.8
bgc0,male,81 71,5.6
bh19,male,81 71,10.6
bhvf,male,81 71,6.9
biuj,male,81 71,4.4
bk12,male,81 71,6.8
bl7p,male,81 71,4.4
bmzu,male,81 71,8.7
boz7,male,81 71,6.7
bqbg,male,81 71,7.2
brko,male,81 71,6.9
btwb,male,81 71,5.5
buxf,male,81 71,8.9
by8i,male,81 71,8.3
byxr,male,81 71,4.6
bzqy,male,81 71,8.3
c0h5,male,81 71,8.6
c1hj,male,81 71,9.2
c27j,male,81 71,7.5
c7ib,male,81 71,11.6
c8rb,male,81 71,2.8
cbj5,male,81 71,9.4
cbxy,male,81 71,5.4
cckf,male,81 71,15.7
cee8,male,81 71,5.1
cetr,male,81 71,8
cho1,male,81 71,9.9
ckiz,male,81 71,8.1
cl2w,male,81 71,12
cme9,male,81 71,11.6
co3c,male,81 71,15.3
crbs,male,81 71,10.3
cskg,male,81 71,8.7
cv9o,male,81 71,3.4
cwwz,male,81 71,5.1
d011,male,81 71,-0.1
d1ry,male,81 71,9.9
d2eq,male,81 71,7.6
d36v,male,81 71,10.7
d4mt,male,81 71,7.3
d6cn,male,81 71,8.9
d9ec,male,81 71,5.5
db3x,male,81 71,4.9
dbu4,male,81 71,8.4
dc5a,male,81 71,4.1
ddw9,male,81 71,6.1
dexo,male,81 71,9.2
dgap,male,81 71,6.6
dhcy,male,81 71,7.6
djem,male,81 71,12.8
dlgu,male,81 71,5.9
dnb0,male,81 71,9.4
dnum,male,81 71,6.7
dop3,male,81 71,5.3
dqji,male,81 71,8.4
dr54,male,81 71,4.4
dsqa,male,81 71,8.3
dv3s,male,81 71,10.1
dvld,male,81 71,6.6
dw0w,male,81 71,8.6
dxnt,male,81 71,10.8
dz34,male,81 71,8.8
e2n8,male,81 71,6.3
e36l,male,81 71,5.9
e6yo,male,81 71,9.2
e7l2,male,81 71,15.6
eafv,male,81 71,10.5
eatw,male,81 71,9.2
ec0l,male,81 71,9.1
ed7u,male,81 71,9.5
ee5v,male,81 71,5.4
efwi,male,81 71,4.9
ehu2,male,81 71,5.2
eljq,male,81 71,10.6
emku,male,81 71,12.8
eo60,male,81 71,9.7
eppp,male,81 71,11.8
ervz,male,81 71,6.5
etfh,male,81 71,11.8
ewnt,male,81 71,3.8
exag,male,81 71,12.2
eydc,male,81 71,11.1
ezds,male,81 71,4.4
f15w,male,81 71,13.8
f28l,male,81 71,7.1
f2q8,male,81 71,4.6
f6cl,male,81 71,8.4
f92s,male,81 71,5.1
f9z3,male,81 71,4.6
fbbj,male,81 71,5.6
fcj2,male,81 71,8.1
fdeb,male,81 71,4.9
fec7,male,81 71,4.8
fezb,male,81 71,4
fh1w,male,81 71,11.3
fjb1,male,81 71,5.6
fjg6,male,81 71,7.9
fktj,male,81 71,15.6
fq0v,male,81 71,9.4
fr6d,male,81 71,11.2
fs7m,male,81 71,13.5
ftp0,male,81 71,8.2
fuxy,male,81 71,6.4
fwxt,male,81 71,3
fxgn,male,81 71,5.1
fz3x,male,81 71,6.1
g21d,male,81 71,9.9
g400,male,81 71,3.2
g6o5,male,81 71,10.5
g7sq,male,81 71,8
g9sv,male,81 71,8.4
gd44,male,81 71,6.2
gf1a,male,81 71,11.3
gf7h,male,81 71,7.2
ggi1,male,81 71,9.2
gh9n,male,81 71,6.6
gi0s,male,81 71,1.2
gjdd,male,81 71,5.2
gkz7,male,81 71,5.7
gl9v,male,81 71,7.6
gm6t,male,81 71,6.1
gno9,male,81 71,10.7
gona,male,81 71,6.8
gpki,male,81 71,6.3
gpw4,male,81 71,5.6
grtd,male,81 71,8.1
gu1t,male,81 71,8.8
gwrt,male,81 71,11.3
gzo7,male,81 71,14
h195,male,81 71,4.8
h1gj,male,81 71,9.2
h37f,male,81 71,6.3
h497,male,81 71,11.2
h83f,male,81 71,11.3
h8wq,male,81 71,4.9
h9g0,male,81 71,7.5
hbgz,male,81 71,5.7
hd46,male,81 71,5.1
herw,male,81 71,10
hhj3,male,81 71,12.8
hiiv,male,81 71,7.6
hm27,male,81 71,6.4
hm9t,male,81 71,4.6
hnq6,male,81 71,4.8
ho1h,male,81 71,12
hpvw,male,81 71,11.7
hr3h,male,81 71,4.2
hrt8,male,81 71,11.8
hshy,male,81 71,8.6
htb7,male,81 71,10.3
huje,male,81 71,2.3
hvhw,male,81 71,9.4
hwtb,male,81 71,13.7
hx8x,male,81 71,6.4
hyi5,male,81 71,6.2
hyn6,male,81 71,9.4
i01l,male,81 71,10.6
i0ic,male,81 71,5.8
i28t,male,81 71,7.8
i3cj,male,81 71,8.1
i4ql,male,81 71,12.4
i6oe,male,81 71,4.6
i7dw,male,81 71,3.2
i7za,male,81 71,5.7
i90i,male,81 71,8
i9tt,male,81 71,5.8
iars,male,81 71,6
ibfk,male,81 71,8.6
ic18,male,81 71,14.4
icnp,male,81 71,7
idcj,male,81 71,10.2
ie5v,male,81 71,8.9
ifn0,male,81 71,15.9
igo0,male,81 71,4.6
ihyn,male,81 71,7
iiso,male,81 71,8.8
ilje,male,81 71,9.6
imgp,male,81 71,6.4
imv0,male,81 71,7.1
inph,male,81 71,7.6
io84,male,81 71,5
ip4o,male,81 71,6.4
ipz6,male,81 71,3.5
ir55,male,81 71,7.5
iruv,male,81 71,9.7
isgj,male,81 71,8.9
iufg,male,81 71,3.7
iwc3,male,81 71,5.4
iz9m,male,81 71,10.7
j3ce,male,81 71,7.8
j3m5,male,81 71,10.5
j64k,male,81 71,8.6
j72t,male,81 71,6.3
j7qa,male,81 71,4.6
j88x,male,81 71,9.4
jagm,male,81 71,7.9
jd34,male,81 71,5.5
jdje,male,81 71,10.6
jfzb,male,81 71,6.6
ji4y,male,81 71,5.8
jj1h,male,81 71,4.1
jkv4,male,81 71,9.2
jmoe,male,81 71,7.7
jp47,male,81 71,7.6
jr5y,male,81 71,10.4
jrs3,male,81 71,14.9
jvcr,male,81 71,1.5
3rp,male,51 61,9.2
75d,male,51 61,12.6
7qu,male,51 61,8.5
9l1,male,51 61,10
c3j,male,51 61,12.3
eoi,male,51 61,6.9
g0i,male,51 61,13.2
gy4,male,51 61,6.2
h13,male,51 61,7.8
igq,male,51 61,6.6
j5h,male,51 61,10.4
kj0,male,51 61,12.7
kv2,male,51 61,12.5
ltr,male,51 61,10.5
muo,male,51 61,4.2
nms,male,51 61,8.2
ogm,male,51 61,7
rre,male,51 61,7.2
rsp,male,51 61,7.4
snb,male,51 61,9.3
vee,male,51 61,10.8
xbu,male,51 61,11
z24,male,51 61,7.1
10a9,male,51 61,12.5
11sa,male,51 61,13.8
125j,male,51 61,12.1
130j,male,51 61,6
14jq,male,51 61,10.5
15gw,male,51 61,10.6
17qy,male,51 61,8.1
18wj,male,51 61,3.5
1br7,male,51 61,12.8
1cl6,male,51 61,9.6
1ctu,male,51 61,8.9
1f8i,male,51 61,10.6
1h7e,male,51 61,7.8
1i82,male,51 61,5.9
1jat,male,51 61,9.2
1l5e,male,51 61,11
1mds,male,51 61,5.8
1nti,male,51 61,6.3
1o6r,male,51 61,10.5
1p05,male,51 61,14.3
1qjv,male,51 61,7.5
1rl9,male,51 61,10.7
1tha,male,51 61,10
1vj8,male,51 61,12.4
1wie,male,51 61,7.7
1ws8,male,51 61,8.5
1yk2,male,51 61,6.7
22fb,male,51 61,15.5
23tg,male,51 61,9.7
2774,male,51 61,4.4
27j9,male,51 61,11.2
28wt,male,51 61,8.5
2c3m,male,51 61,7.4
2cit,male,51 61,11.9
